Hindi,English
अंश,part
इतिहास,history
तलाशी,search
केवल,only
पुलिस,police
सोच,thought
मदद,help
मेहरबान,kind
भाई,brother
होने देना,let
इसलिये,because
डालने के लिए,to put
ना,no
पट्टा,leash
उन्हें,them
शहर,city
आइए,come
चाहिए,should
लंबे समय तक,long time
घंटे,hours
मर्जी,will
जबकि,while
फिर मिलेंगे,meet again
कोई,any
वर्ग,square
बोलना,speak
जानता था,knew
थे,were
चेतावनी,Warning
यहाँ है,here is
मामला,case
देना,give
प्रकार,type
उनका,their
दिया गया,given
रेल गाडी,train
तन,body
स्थान,place
नयन ई,eyes
मार्ग,way
सुनना,listen
किसका,whose
पाना,find
प्रथम,first
खोया,lost
हाथ,hand
प्रथम,first
शक्ति,power
होना,be
सुबह,morning
बहुत ज्यादा,so much
बच्चा,child
बिंदु,point
आया,came
बाद में,after
खेद,sorry
आइए,come
इसके सामने,in front of
मिनट,minutes
प्रार्थना,request
शयनकक्ष,bedroom
रखा हे,placed
सुंदर,beautiful
कानून,law
करना चाहेंगे,would like to
आज,today
पति,husband
वजह,cause
आखिरकार,finally
आशा,hope
पानी,water
रुकना,Wait
बाएं,left
नया,new
काम,job
विराम,Stop
कहना होगा,would say
धरती,Earth
दिया गया,given
दूर,far
समाप्त,end
मानना,believe
प्रिय,sweetheart
बड़ा,large
बल्कि,rather
होगा,will have
लड़कियाँ,girls
खेलने के लिए,to play
कार्यालय,office
